# ----------------------------------------
# Toate datele site-ului
# Pages
# 20140311-20140410
# ----------------------------------------

Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/doku.php?id=rift_161_hotfix_5_response,334,315,00:00:17,25,0.00%,1.20%,$0.00
/doku.php?id=is_an_automatic_alt_coin_generator_bad_for_cryptos,333,315,00:00:22,26,38.46%,6.31%,$0.00
/doku.php?id=rift_library_of_the_runemasters,333,309,00:00:16,15,0.00%,3.30%,$0.00
/doku.php?id=why_inputsio_is_awesome,332,311,00:00:12,8,25.00%,2.41%,$0.00
/doku.php?id=crypto_currency_exchanges_and_offering_interest_my_take,331,316,00:00:21,22,4.55%,3.63%,$0.00
/doku.php?id=dogecoin_1-6_update_and_what_it_means_to_you,331,314,00:00:10,13,15.38%,3.32%,$0.00
/doku.php?id=critical_thinking_questions_and_evaluations_-_part_04,330,313,00:00:38,14,7.14%,2.42%,$0.00
/doku.php?id=list_of_bitcoin_giveaways_and_faucets,330,213,00:04:02,208,76.44%,62.12%,$0.00
/doku.php?id=poker_bankroll_management,330,320,00:00:28,15,0.00%,3.03%,$0.00
/doku.php?id=guild_wars_2_doing_wvw_naked,329,314,00:00:14,23,13.04%,4.26%,$0.00
/doku.php?id=walking_for_health_-_an_overview,329,309,00:00:20,16,0.00%,3.04%,$0.00
/doku.php?id=jack_in_the_box_review,328,313,00:00:17,18,0.00%,2.44%,$0.00
/doku.php?id=prompt_-_garfield_in_real_life,328,313,00:00:14,13,0.00%,2.44%,$0.00
/doku.php?id=rift_19_conquest_walkthrough,328,313,00:00:43,19,0.00%,3.35%,$0.00
/doku.php?id=doing_surveys_for_free_stuff,327,311,00:00:20,15,0.00%,1.83%,$0.00
/doku.php?id=elements_of_an_effective_testimony,327,41,00:00:33,3,100.00%,0.92%,$0.00
/doku.php?id=guild_wars_2_and_the_lack_of_roles,327,308,00:00:22,18,0.00%,3.06%,$0.00
/doku.php?id=lets_play_gw2_episode_3,327,314,00:00:15,13,0.00%,2.14%,$0.00
/doku.php?id=lets_play_rift_episode_1,327,309,00:00:24,11,9.09%,2.45%,$0.00
/doku.php?id=why_bitcoins_are_tied_to_fiat,327,304,00:00:11,22,0.00%,1.53%,$0.00
/doku.php?id=cancer_home_treatment,326,280,00:06:32,276,87.68%,83.44%,$0.00
/doku.php?id=lets_play_rift_episode_7,326,311,00:00:27,15,6.67%,2.15%,$0.00
/doku.php?id=new_vs_used_cars_-_an_informative_look,326,313,00:00:20,16,0.00%,3.37%,$0.00
/doku.php?id=rift_leveling_speed,326,311,00:00:24,22,0.00%,2.15%,$0.00
/doku.php?id=rift_expert_dungeon_merge,325,304,00:00:17,21,4.76%,3.08%,$0.00
/doku.php?id=bitcoin_trading_bots_my_take,324,307,00:00:07,15,6.67%,2.47%,$0.00
/doku.php?id=cooking_with_gas_vs_electric,324,307,00:00:11,20,0.00%,3.70%,$0.00
/doku.php?id=december_6_2013_bitcoin_price_tanks,324,310,00:00:13,21,0.00%,2.16%,$0.00
/doku.php?id=microsoft_office_vs_libreoffice_vs_openoffice,324,302,00:00:23,17,5.88%,1.85%,$0.00
/doku.php?id=rift_fae_yule_whitefall_review,324,312,00:00:19,22,4.55%,2.47%,$0.00
/doku.php?id=writing_prompt_-_thanksgiving_intervention,324,311,00:00:09,14,0.00%,1.85%,$0.00
/doku.php?id=guild_wars_2_-_why_stonemist_castle_is_not_worth_it,323,305,00:00:19,20,5.00%,3.72%,$0.00
/doku.php?id=linear_vs_free_exploration_games,323,303,00:00:28,9,0.00%,2.48%,$0.00
/doku.php?id=bitcoin_vs_credit_cards,322,311,00:00:20,25,36.00%,8.70%,$0.00
/doku.php?id=my_thoughts_about_teras_levelup_event,322,311,00:00:10,25,0.00%,3.73%,$0.00
/doku.php?id=my_thoughts_of_soul_binding_gear_in_games,322,305,00:00:45,11,0.00%,1.55%,$0.00
/doku.php?id=rift_10_vs_20_raids,322,313,00:00:16,17,0.00%,1.55%,$0.00
/doku.php?id=rift_rotf_guide,322,310,00:00:21,15,6.67%,3.73%,$0.00
/doku.php?id=bad_cops_or_bad_rap,321,44,00:00:34,5,20.00%,1.25%,$0.00
/doku.php?id=bitcoin_poker_and_the_lack_of_population,321,309,00:00:31,14,0.00%,1.56%,$0.00
/doku.php?id=gw2_why_i_like_wvw,321,308,00:00:37,16,0.00%,3.74%,$0.00
/doku.php?id=how_to_run_a_successful_market_stall,321,291,00:05:20,291,87.29%,85.98%,$0.00
/doku.php?id=should_crypto_currencies_be_treated_as_money,321,302,00:00:35,14,14.29%,2.80%,$0.00
/doku.php?id=the_importance_of_mmo_state_of_the_game_addresses,321,311,00:00:13,16,6.25%,1.56%,$0.00
/doku.php?id=a_look_at_block_payout_halving,320,306,00:00:02,18,0.00%,4.06%,$0.00
/doku.php?id=casinobitcoin_acquires_peerbet,320,304,00:00:20,24,4.17%,5.00%,$0.00
/doku.php?id=grinding_in_games,320,306,00:00:16,17,11.76%,1.56%,$0.00
/doku.php?id=moving_from_crypto_addresses_to_qr_codes,320,308,00:00:13,20,0.00%,2.50%,$0.00
/doku.php?id=rift_dd_guide,320,302,00:00:31,35,51.43%,9.38%,$0.00
/doku.php?id=usb_block_eruptors,320,305,00:00:22,31,54.84%,7.50%,$0.00
/doku.php?id=a_look_at_hypermiling,319,302,00:00:26,15,0.00%,1.88%,$0.00
/doku.php?id=article_review_of_the_security_leader_by_diane_ritchey,319,39,00:00:33,1,0.00%,0.63%,$0.00
/doku.php?id=gw2_guide_to_understanding_the_market,319,304,00:00:44,10,0.00%,2.82%,$0.00
/doku.php?id=lets_play_rift_episode_2,319,295,00:00:11,12,0.00%,2.51%,$0.00
/doku.php?id=my_crypto_investment_plan_-_arbitrage,319,311,00:00:26,14,7.14%,2.82%,$0.00
/doku.php?id=rift_goes_f2p,319,306,00:00:12,15,0.00%,2.82%,$0.00
/doku.php?id=rift_ros_chronicle_preview,319,306,00:00:23,23,0.00%,2.51%,$0.00
/doku.php?id=the_fall_of_blockbuster_video,319,299,00:00:26,19,5.26%,2.82%,$0.00
/doku.php?id=bbqcoin,318,255,00:01:56,253,83.40%,77.36%,$0.00
/doku.php?id=conserving_laptop_battery_life_-_a_guide_to_laptop_batteries,318,309,00:00:20,14,7.14%,3.46%,$0.00
/doku.php?id=guild_wars_2_gets_shared_wallets,318,299,00:00:13,14,7.14%,2.20%,$0.00
/doku.php?id=guild_wars_2_structured_pvp_tournaments_and_matches,318,294,00:00:07,16,0.00%,3.14%,$0.00
/doku.php?id=rift_17_patch_notes_tldr,318,301,00:00:27,21,4.76%,3.46%,$0.00
/doku.php?id=rift_fishing_preview,318,299,00:00:24,14,14.29%,5.66%,$0.00
/doku.php?id=rift_lack_of_tanks,318,303,00:00:16,21,4.76%,2.83%,$0.00
/doku.php?id=rift_parser_proper_usage,318,307,00:00:12,21,0.00%,3.77%,$0.00
/doku.php?id=should_you_get_a_laptop_or_desktop,318,297,00:00:15,11,0.00%,4.40%,$0.00
/doku.php?id=the_importance_of_backing_up_crypto_wallets,318,308,00:00:05,19,15.79%,3.77%,$0.00
/doku.php?id=rift_is_not_dead,317,304,00:00:14,15,0.00%,3.15%,$0.00
/doku.php?id=the_problem_with_free_web_hosting,317,296,00:00:26,16,6.25%,2.52%,$0.00
/doku.php?id=how_to_teach_children_financial_responsibility,316,303,00:00:24,17,0.00%,4.11%,$0.00
/doku.php?id=lets_play_rift_episode_5,316,307,00:00:24,13,0.00%,2.53%,$0.00
/doku.php?id=paintball_for_newbies,316,301,00:00:37,20,0.00%,5.38%,$0.00
/doku.php?id=poker_freeroll_mentality,316,304,00:00:27,15,0.00%,3.16%,$0.00
/doku.php?id=bitads_-_an_advertisers_and_publishers_review,315,300,00:00:10,13,0.00%,4.44%,$0.00
/doku.php?id=critical_thinking_questions_and_evaluations_-_part_02,315,297,00:00:20,24,33.33%,6.35%,$0.00
/doku.php?id=guild_wars_2_world_vs_world_ranks_should_be_account_wide,315,297,00:00:20,13,0.00%,1.90%,$0.00
/doku.php?id=is_bitcoin_a_currency,315,299,00:00:24,11,0.00%,4.13%,$0.00
/doku.php?id=mcxnow_fee_shares,315,292,00:00:22,21,4.76%,2.86%,$0.00
/doku.php?id=rift_dsm_guide,315,305,00:00:32,23,17.39%,4.76%,$0.00
/doku.php?id=rift_raid_finder_opinion,315,299,00:00:16,22,4.55%,1.27%,$0.00
/doku.php?id=why_coinchat_rocks,315,297,00:00:09,19,0.00%,3.49%,$0.00
/doku.php?id=guild_wars_2_forest_of_niflhel_opinion,314,298,00:00:17,15,0.00%,3.50%,$0.00
/doku.php?id=guild_wars_2_understanding_battle_of_kyhlo_structured_pvp_map,314,306,00:00:10,21,4.76%,3.50%,$0.00
/doku.php?id=rift_gambling,314,300,00:00:22,21,4.76%,2.23%,$0.00
/doku.php?id=the_crash_of_inputs_and_coinlenders,314,295,00:00:07,22,9.09%,3.18%,$0.00
/doku.php?id=the_possible_fall_of_bitads,314,302,00:00:18,22,9.09%,2.23%,$0.00
/doku.php?id=a_guide_to_nexus,313,301,00:00:22,18,0.00%,2.56%,$0.00
/doku.php?id=advertising_devcoin_via_bounties_and_shares_my_evaluation,313,302,00:00:33,17,0.00%,2.88%,$0.00
/doku.php?id=are_hybrids_worth_the_cost,313,295,00:00:10,18,0.00%,5.43%,$0.00
/doku.php?id=coinurl_and_malware,313,289,00:00:29,19,5.26%,1.92%,$0.00
/doku.php?id=mcxnow_interest_sharing,313,302,00:00:09,13,0.00%,1.60%,$0.00
/doku.php?id=moving_to_mars_my_thoughts,313,296,00:00:32,17,0.00%,3.19%,$0.00
/doku.php?id=one_in_four,313,37,00:00:33,3,0.00%,0.64%,$0.00
/doku.php?id=rift_pre_sl_gear_is_worthless,313,302,00:00:28,14,14.29%,2.56%,$0.00
/doku.php?id=warning_-_do_not_open_new_accounts_before_buying_a_house,313,304,00:00:30,19,0.00%,1.92%,$0.00
/doku.php?id=why_bitpay_rocks,313,302,00:00:09,24,4.17%,2.56%,$0.00
/doku.php?id=coin_mixing_services_an_informative_look,312,294,00:00:17,17,0.00%,1.92%,$0.00
/doku.php?id=crypto_currencies_and_market_corrections,312,290,00:00:16,15,0.00%,4.17%,$0.00
/doku.php?id=dungeon_difficulty_in_guild_wars_2,312,288,00:00:19,21,4.76%,3.21%,$0.00
/doku.php?id=is_anonymity_bad,312,301,00:00:32,15,0.00%,3.53%,$0.00
/doku.php?id=prompt_-_your_new_home,312,299,00:00:11,22,0.00%,2.24%,$0.00
/doku.php?id=rift_economy_and_why_its_dead,312,304,00:00:26,21,0.00%,2.56%,$0.00
/doku.php?id=tera_cultists_refuge_guide,312,293,00:00:16,15,0.00%,1.60%,$0.00
/doku.php?id=tera_event_-_create_a_loading_screen,312,299,00:00:16,16,0.00%,2.88%,$0.00
/doku.php?id=why_i_hate_cost_per_click_ads,312,300,00:00:07,19,5.26%,3.53%,$0.00
/doku.php?id=annoyance_with_rift_warfronts,311,302,00:00:15,17,0.00%,1.93%,$0.00
/doku.php?id=does_gw2_remove_the_holy_trinity,311,293,00:00:16,11,18.18%,3.22%,$0.00
/doku.php?id=dogecoin_is_now_catering_to_inflation,311,300,00:00:31,28,3.57%,4.82%,$0.00
/doku.php?id=rift_social_experiment,311,299,00:00:18,9,0.00%,2.89%,$0.00
/doku.php?id=state_of_mcxnow_end_of_december_2013,311,297,00:00:24,23,13.04%,4.82%,$0.00
/doku.php?id=unocs_-_an_overview,311,299,00:00:30,11,9.09%,6.11%,$0.00
/doku.php?id=why_guild_based_content_is_important_in_mmos,311,294,00:00:33,12,0.00%,3.86%,$0.00
/doku.php?id=bitcoins_are_not_being_hoarded_as_much_as_originally_thought,310,292,00:00:25,19,0.00%,1.29%,$0.00
/doku.php?id=guild_wars_2_making_friends_through_structured_pvp,310,299,00:00:25,22,0.00%,2.58%,$0.00
/doku.php?id=gw2_weekly_reset_opinion,310,297,00:00:23,24,0.00%,2.58%,$0.00
/doku.php?id=rift_ingame_references_1,310,291,00:00:12,12,0.00%,2.58%,$0.00
/doku.php?id=rift_kb_guide,310,290,00:00:23,13,23.08%,4.84%,$0.00
/doku.php?id=scharmbeck_and_its_effect_on_the_value_of_worldcoin,310,297,00:00:32,20,25.00%,3.55%,$0.00
/doku.php?id=bringing_writers_to_devtome_the_right_way,309,295,00:00:22,10,0.00%,2.59%,$0.00
/doku.php?id=defiance_shadow_war_guide,309,302,00:00:23,12,8.33%,3.24%,$0.00
/doku.php?id=devcoin_pricing_for_november_2013,309,293,00:00:17,18,0.00%,2.59%,$0.00
/doku.php?id=free_server_transfers_in_online_games_good_or_bad,309,294,00:00:31,12,0.00%,3.56%,$0.00
/doku.php?id=increasing_devcoins_market_cap_what_needs_to_happen,309,297,00:00:13,16,0.00%,2.91%,$0.00
/doku.php?id=living_through_natural_disasters,309,295,00:00:37,18,0.00%,5.50%,$0.00
/doku.php?id=mail_forwarding_when_you_move,309,291,00:00:16,21,0.00%,1.94%,$0.00
/doku.php?id=passion_on_the_horizon_poem,309,35,00:00:32,2,0.00%,0.65%,$0.00
/doku.php?id=rift_-_general_information,309,296,00:00:18,23,8.70%,3.88%,$0.00
/doku.php?id=diablo_3_and_the_real_money_marketplace,308,293,00:00:20,13,30.77%,3.25%,$0.00
/doku.php?id=guild_wars_2_daily_quests_overview,308,295,00:00:19,15,6.67%,3.90%,$0.00
/doku.php?id=how_to_avoid_a_traffic_ticket,308,48,00:00:34,7,57.14%,1.62%,$0.00
/doku.php?id=rift_-_why_queues_take_so_long_as_dps,308,286,00:00:19,22,27.27%,3.90%,$0.00
/doku.php?id=rift_18_pts_notes_overview,308,291,00:00:02,14,0.00%,2.60%,$0.00
/doku.php?id=rift_26_preview,308,287,00:00:15,19,0.00%,1.30%,$0.00
/doku.php?id=rift_fishing_bots_somewhat_under_control,308,296,00:00:14,15,0.00%,2.92%,$0.00
/doku.php?id=rift_lag_sparks_bonus_rewards_august_2013,308,292,00:00:15,11,0.00%,2.27%,$0.00
/doku.php?id=black_friday_sales_and_shopping_for_newbies,307,296,00:00:09,10,0.00%,6.19%,$0.00
/doku.php?id=epic_love_poem,307,37,00:00:33,0,0.00%,0.33%,$0.00
/doku.php?id=how_bitcoin_cuts_down_on_payment_fees,307,291,00:00:19,12,0.00%,2.61%,$0.00
/doku.php?id=lets_play_gw2_episode_1,307,293,00:00:15,11,0.00%,1.95%,$0.00
/doku.php?id=peerbet_review,307,289,00:00:07,16,0.00%,2.61%,$0.00
/doku.php?id=rift_finding_balance_casual_hardcore,307,291,00:00:28,15,0.00%,3.26%,$0.00
/doku.php?id=rift_post_t3_boons,307,291,00:00:04,20,0.00%,1.63%,$0.00
/doku.php?id=rift_warfront_turtling_opinion,307,295,00:00:21,16,6.25%,2.93%,$0.00
/doku.php?id=wireless_computer_accessories_and_gaming,307,287,00:00:13,17,5.88%,2.61%,$0.00
/doku.php?id=a_look_at_naked_and_afraid,306,290,00:01:03,14,0.00%,6.86%,$0.00
/doku.php?id=backing_up_mmorpgs_for_moving_or_reformatting,306,290,00:00:22,20,0.00%,0.65%,$0.00
/doku.php?id=facebook_-_the_focal_point_of_communication,306,285,00:00:31,6,16.67%,1.96%,$0.00
/doku.php?id=fdic_insurance_and_misconceptions,306,292,00:00:32,20,0.00%,3.59%,$0.00
/doku.php?id=guild_wars_2_why_too_much_siege_is_bad,306,290,00:00:10,12,8.33%,3.27%,$0.00
/doku.php?id=rift_instant_adventures_revisited,306,296,00:00:06,20,5.00%,1.96%,$0.00
/doku.php?id=rift_planar_attunement_guide,306,289,00:00:14,35,51.43%,8.82%,$0.00
/doku.php?id=rift_t3_pa,306,286,00:00:29,14,7.14%,3.59%,$0.00
/doku.php?id=rift_why_content_nerfs_arent_always_bad,306,292,00:00:07,19,0.00%,1.96%,$0.00
/doku.php?id=should_gold_farming_in_games_be_allowed,306,289,00:00:30,15,6.67%,3.92%,$0.00
/doku.php?id=game_fan_sites_and_their_relationship_to_the_games_they_represent,305,289,00:00:18,13,0.00%,2.30%,$0.00
/doku.php?id=helping_the_poor,305,36,00:00:37,1,0.00%,0.00%,$0.00
/doku.php?id=rift_2.3_hotfix_8_pvp_gear_changes,305,290,00:01:00,18,5.56%,5.57%,$0.00
/doku.php?id=rift_instant_adventures_review,305,281,00:00:19,23,0.00%,4.26%,$0.00
/doku.php?id=rift_lh_guide,305,293,00:00:25,16,18.75%,4.26%,$0.00
/doku.php?id=rmt_in_online_games,305,289,00:00:12,10,0.00%,2.95%,$0.00
/doku.php?id=social_marketing_via_facebook,305,290,00:00:16,22,0.00%,3.28%,$0.00
/doku.php?id=solar_power_-_is_it_worth_it,305,292,00:00:31,16,0.00%,2.62%,$0.00
/doku.php?id=coinbase_problems_-_slow_and_broken_transactions,304,287,00:00:13,20,30.00%,4.28%,$0.00
/doku.php?id=guild_wars_2_gear_breaking_and_gear_repair,304,292,00:00:34,15,0.00%,2.63%,$0.00
/doku.php?id=guild_wars_2_why_i_dislike_daily_rewards,304,288,00:00:25,15,0.00%,1.97%,$0.00
/doku.php?id=is_rift_p2w,304,287,00:00:24,14,50.00%,7.24%,$0.00
/doku.php?id=north_texas_freezes_over_-_december_2013,304,280,00:00:17,9,0.00%,2.30%,$0.00
/doku.php?id=rift_it_guide,304,291,00:00:24,8,0.00%,3.62%,$0.00
/doku.php?id=the_importance_of_voice_chat_in_games,304,287,00:00:28,16,0.00%,3.95%,$0.00
/doku.php?id=the_southern_gentleman_part_three,304,41,00:00:33,2,50.00%,0.33%,$0.00
/doku.php?id=why_linux_and_gamers_do_not_mix,304,288,00:00:29,15,6.67%,2.96%,$0.00
/doku.php?id=guild_wars_2_-_pve_leveling_through_structured_pvp,303,288,00:00:20,17,11.76%,3.63%,$0.00
/doku.php?id=rift_fc_guide,303,288,00:00:20,16,0.00%,3.63%,$0.00
/doku.php?id=tera_bastion_of_lok_guide,303,279,00:00:24,17,11.76%,4.62%,$0.00
/doku.php?id=valuing_a_crypto_company,303,282,00:00:24,19,0.00%,3.96%,$0.00
/doku.php?id=why_perpetual_mining_bonds_are_bad,303,293,00:00:45,23,17.39%,5.28%,$0.00
/doku.php?id=an_overview_of_mcxbux,302,279,00:00:28,27,33.33%,6.29%,$0.00
/doku.php?id=cloud_mining_my_thoughts,302,288,00:00:24,18,11.11%,3.31%,$0.00
/doku.php?id=critical_thinking_questions_and_evaluations_-_part_03,302,285,00:00:09,25,16.00%,5.30%,$0.00
/doku.php?id=dvrs_and_commercials_a_look_at_the_present,302,286,00:00:19,11,0.00%,4.30%,$0.00
/doku.php?id=gold_buying_in_games,302,283,00:00:29,7,0.00%,6.95%,$0.00
/doku.php?id=guild_wars_2_obsidian_sanctum_change,302,286,00:00:22,18,0.00%,2.98%,$0.00
/doku.php?id=guild_wars_2_world_vs_world_the_importance_of_dolyaks,302,287,00:00:39,16,6.25%,5.63%,$0.00
/doku.php?id=how_to_get_moving_boxes_as_cheap_as_possible,302,286,00:00:14,15,0.00%,3.64%,$0.00
/doku.php?id=lets_play_gw2_episode_2,302,285,00:00:20,17,0.00%,1.32%,$0.00
/doku.php?id=rested_experience_in_role_playing_games,302,295,00:00:14,24,29.17%,5.63%,$0.00
/doku.php?id=rift_ember_isle_ia_preview,302,290,00:00:22,19,5.26%,1.66%,$0.00
